Comment,Link,Name,Rating,Reviews Count,Speciality
"Prompt service, short waiting time, and great bedside manner. The doctor heard me out and answered my questions and offered advice clearly and honestly.",ratemds.com/doctor-ratings/2288973/Dr-RICHARD+A.-FEELY-Chicago-IL.html,Dr. Richard A. Feely,5,8,Family Doctor / G.P.
I have only had one other Dr in my life (50+) where I felt that my well-being was truly being looked after. Dr. Bucher falls within that elite group. From the mome... Read more,ratemds.com/doctor-ratings/825300/Dr-Gary+G.-Bucher-CHICAGO-IL.html,Dr. Gary G. Bucher,5,6,Family Doctor / G.P.
"He is a fabulous doctor -- caring and personable. He asks questions and the sctually listens.
I recommend him highly.",ratemds.com/doctor-ratings/15407/Dr-Tony+R.-Vancauwelaert-Chicago-IL.html,Dr. Tony R. Vancauwelaert,4.12,22,Family Doctor / G.P.
"Screamed and yelled over the telephone, when wanting to know about a patient.",ratemds.com/doctor-ratings/133460/Dr-Cary+J.-Bortnick-Chicago-IL.html,Dr. Cary J. Bortnick,4.04,34,Family Doctor / G.P.
Dr Michael Hytros is a caring physician who is dedicated to his patients and his co-workers. He is never too busy to answer any question- very carefuly and patiently... Read more,ratemds.com/doctor-ratings/175562/Dr-Michael+S.-Hytros-CHICAGO-IL.html,Dr. Michael S. Hytros,4.59,8,Family Doctor / G.P.
dr maggie has been very understanding about my severe back problems i moved here to arizona several months ago and was diagnosed with scoliosis i plan on having surg... Read more,ratemds.com/doctor-ratings/3206577/Dr-Magdalena-Jarzabek-Chicago-IL.html,Dr. Magdalena Jarzabek,5,4,Family Doctor / G.P.
Dr. Gilleon always treats my daughter like she is the only child she ever sees. She just fawns all over her. She has been a great first doctor for our little lady.,ratemds.com/doctor-ratings/172390/Dr-Cherie+R.-Gilleon-Chicago-IL.html,Dr. Cherie R. Gilleon,5,4,Family Doctor / G.P.
I am very happy with Dr. Berman. He takes care of every problem either personally or through others.,ratemds.com/doctor-ratings/75754/Dr-Mikhail-Berman-Chicago-IL.html,Dr. Mikhail Berman,5,5,Family Doctor / G.P.
"Dr. Kirsten Hefele is by far the kindest, most knowledgeable, and most thorough doctor that I have ever seen. I was sitting in the waiting room, and another patient... Read more",ratemds.com/doctor-ratings/22490/Dr-Kirsten+G.-Hefele-Chicago-IL.html,Dr. Kirsten G. Hefele,4.96,6,Family Doctor / G.P.
"A great man.A great Doctor. Listens to YOU, honest,professional. ... Read more",ratemds.com/doctor-ratings/475182/Dr-Max+J.-Pitlosh-Chicago-IL.html,Dr. Max J. Pitlosh,4.7,5,Family Doctor / G.P.
Dr Roberts has always treated me respectfully and never rushes me out. She is smart and direct which I very much appreciate. I fell like a partner in my healthcare. ... Read more,ratemds.com/doctor-ratings/137278/Dr-Leigh+H.-Roberts-CHICAGO-IL.html,Dr. Leigh H. Roberts,4.42,6,Family Doctor / G.P.
"excellent physician, caring. All my family goes to her office",ratemds.com/doctor-ratings/74354/Dr-Carmen+T.-Fotso-CHICAGO-IL.html,Dr. Carmen T. Fotso,4.55,5,Family Doctor / G.P.
I have been seeing this doctor for about 30 years. He knows his stuff. I recently became very ill and had gone to see a different doctor because I thought I needed a... Read more,ratemds.com/doctor-ratings/478319/Dr-Marek-Gawrysz-Chicago-IL.html,Dr. Marek Gawrysz,3.95,11,Family Doctor / G.P.
